date,912101A,912105A,915011A,915206A,917107A
1911-01-01,0.888126,0.960759,8e-05,0.0,3.61236
1911-01-02,0.059389,0.042992,0.0,0.0,14.048487
1911-01-03,0.00672,0.006064,0.000605,0.0,9.106603
1911-01-04,0.47565,0.332438,6.308716,0.0,4.968473
1911-01-05,6.305967,5.203287,10.507094,3.189023,53.80346
1911-01-06,19.329692,17.138085,11.830371,22.584424,7.216511
1911-01-07,63.579042,62.32009,23.619325,70.505379,1.216585
1911-01-08,40.0894,39.320283,9.110622,235.911442,7.53396
1911-01-09,15.421943,15.447841,43.007252,157.34409,19.964494
1911-01-10,0.443637,0.431732,74.550357,1.26541,11.753591
1911-01-11,2e-06,2e-06,4.002225,0.0,5.709537
1911-01-12,0.0,0.0,0.340828,0.0,3.498555
1911-01-13,0.0,0.0,0.0004,0.0,0.017666
1911-01-14,0.0,0.0,0.0,0.0,0.000307
1911-01-15,0.0,0.0,0.0,0.0,0.0
1911-01-16,0.0,0.0,0.0,0.0,0.041016
1911-01-17,9e-06,1e-05,0.0,0.0,3.7e-05
1911-01-18,1.5e-05,5e-06,1.3325,0.0,0.0
1911-01-19,0.08892,0.058129,9.570913,0.0,4.47275
1911-01-20,0.0,0.0,0.016185,0.0,1.212117
1911-01-21,0.0,0.0,0.000966,0.0,2.287926
1911-01-22,0.000166,0.000183,3.924533,0.0,0.0
1911-01-23,0.071505,0.057161,0.272688,2.708038,2.032514
1911-01-24,1.736521,1.811371,0.104983,3.540484,1.766105
1911-01-25,9.019721,8.804537,0.425678,0.242076,3.42268
1911-01-26,0.77947,0.601489,8.731356,0.412577,4.742386
1911-01-27,0.929987,0.959835,34.821529,0.0,8.348026
1911-01-28,0.026076,0.020368,27.190474,0.0,29.125447
1911-01-29,0.898347,0.533496,40.064077,0.0,5.723289
1911-01-30,0.861062,0.704355,44.37381,0.0,32.438897
1911-01-31,3.393241,2.031085,3.434169,0.0,24.61365
1911-02-01,8.897345,7.071935,26.751851,28.220329,12.39368
1911-02-02,0.488867,0.480442,34.900568,5.067006,19.991865
1911-02-03,0.109945,0.116254,0.134787,0.0,1.078476
