date,912101A,912105A,915011A,915206A,917107A
1911-01-01,31.18565,31.30327,31.80298,32.75154,29.244
1911-01-02,31.26047,31.36492,28.95034,33.92012,24.31003
1911-01-03,33.4793,33.55476,25.39672,34.11424,26.323
1911-01-04,31.15315,31.23551,26.77868,32.40458,28.26143
1911-01-05,28.82897,28.92995,29.49879,31.48532,29.49005
1911-01-06,30.11766,30.20687,25.14722,30.20294,29.46813
1911-01-07,30.42865,30.4879,26.1905,28.95016,28.5279
1911-01-08,30.36938,30.41822,26.2118,28.3944,28.92127
1911-01-09,31.78738,31.85705,22.51387,29.47639,28.52673
1911-01-10,34.86536,34.92199,25.02782,32.13209,26.80452
1911-01-11,38.11853,38.15044,27.5282,33.9681,30.82322
1911-01-12,38.29863,38.32054,30.05554,36.25701,30.83442
1911-01-13,38.26276,38.30412,31.97192,37.08828,31.95112
1911-01-14,39.75228,39.79248,33.27446,38.33507,32.33302
1911-01-15,38.35307,38.41022,34.20823,37.86384,32.8264
1911-01-16,37.79266,37.8575,34.52837,38.72188,33.02196
1911-01-17,36.15408,36.23422,33.47548,37.90792,32.77292
1911-01-18,39.64342,39.66088,32.77495,37.73362,30.51061
1911-01-19,37.5719,37.57855,32.82817,36.19577,31.23671
1911-01-20,38.7899,38.79937,33.16053,37.65845,32.35622
1911-01-21,38.06387,38.09621,33.6361,38.23813,32.25717
1911-01-22,36.54743,36.58827,32.49807,38.22372,31.90674
1911-01-23,35.55733,35.60772,32.11882,35.60979,31.46924
1911-01-24,35.55281,35.56909,30.68592,36.1615,30.69631
1911-01-25,35.74076,35.76254,29.86351,35.94601,29.79934
1911-01-26,35.30584,35.36127,28.89232,35.0616,28.19564
1911-01-27,35.48594,35.56258,27.48014,33.25542,29.772
1911-01-28,31.86008,31.96573,28.54578,32.34295,30.99763
1911-01-29,33.07745,33.15271,30.89981,35.83884,30.68959
1911-01-30,31.11557,31.20506,25.57978,33.84549,26.61908
1911-01-31,28.48722,28.60032,25.18781,30.22953,26.04559
1911-02-01,32.16615,32.23491,22.67933,29.22332,26.41121
1911-02-02,34.43475,34.4786,27.05348,33.17877,28.07336
1911-02-03,35.60624,35.67379,31.00333,35.62336,30.82423
1911-02-04,35.39927,35.45934,31.44188,35.23172,31.83003
1911-02-05,35.38789,35.44592,31.871,35.94635,32.17971
1911-02-06,33.8087,33.85079,28.67399,35.22869,29.86822
1911-02-07,33.36204,33.41029,28.5164,34.47548,29.83061
1911-02-08,34.7683,34.80642,28.38952,34.42796,29.10226
1911-02-09,35.17207,35.20345,28.82984,35.05683,29.29535
1911-02-10,36.60152,36.61411,27.95369,35.96213,26.02176
1911-02-11,37.78888,37.80339,22.6498,35.14774,23.37942
1911-02-12,38.06515,38.0903,28.75875,36.6882,29.79584
1911-02-13,37.41711,37.47939,32.37265,37.77249,32.06834
1911-02-14,37.74151,37.7202,32.84466,36.5876,31.68624
1911-02-15,35.83562,35.83893,31.67031,36.655,31.58478
1911-02-16,35.95568,35.96523,31.69832,34.50478,32.70284
1911-02-17,36.49396,36.48729,29.86058,34.74828,30.62116
1911-02-18,37.48293,37.48328,30.84174,35.91127,30.67241
1911-02-19,39.10297,39.09603,29.23797,37.1678,27.51608
1911-02-20,37.25134,37.26804,29.38519,36.71091,27.89027
1911-02-21,33.0421,33.11737,30.037,33.81361,28.77328
1911-02-22,34.49127,34.51748,28.68049,34.91914,28.95281
1911-02-23,37.22953,37.23935,30.50207,36.18698,29.78525
1911-02-24,38.69879,38.69075,30.12268,36.88845,30.16399
1911-02-25,38.87905,38.8786,30.21028,37.18993,29.90711
1911-02-26,36.25644,36.28206,30.77943,36.86377,30.14388
1911-02-27,35.29595,35.32878,29.8406,36.41639,29.58391
1911-02-28,35.8813,35.88923,32.11549,35.79338,30.90604
1911-03-01,36.70911,36.67217,29.88076,34.91609,29.83393
1911-03-02,37.86883,37.85203,28.52773,36.4411,28.61932
1911-03-03,36.19384,36.20053,28.44214,35.93646,29.93178
1911-03-04,38.41373,38.42459,28.93779,36.84908,31.00538
1911-03-05,39.21429,39.22378,29.41076,37.21552,29.75452
1911-03-06,33.60037,33.63744,29.91643,34.90249,30.20992
1911-03-07,36.68315,36.69187,29.4853,35.78309,30.00867
1911-03-08,37.72928,37.74552,30.03226,36.59743,30.38092
1911-03-09,38.72167,38.72837,29.75414,37.25908,29.71837
1911-03-10,38.763,38.75674,30.01796,37.22792,29.61048
1911-03-11,39.18415,39.18379,31.55024,37.96488,30.45441
1911-03-12,38.50813,38.51359,33.14591,38.04238,32.00129
1911-03-13,40.80446,40.80324,32.7712,39.41991,31.26131
1911-03-14,40.41104,40.36287,33.38044,37.67771,32.3346
1911-03-15,37.92828,37.87562,32.84704,35.96384,32.429
1911-03-16,39.01597,38.97455,31.94554,37.73784,30.00597
1911-03-17,39.49607,39.50918,27.80796,37.2448,27.4313
1911-03-18,29.91289,29.98232,31.29244,32.69877,29.24498
1911-03-19,31.47551,31.46804,31.34435,33.00586,30.96815
1911-03-20,31.21805,31.18718,31.34788,31.98984,30.29283
1911-03-21,32.62556,32.58965,29.85565,31.8978,28.71073
1911-03-22,34.6658,34.6451,30.46768,33.94165,29.4915
1911-03-23,35.7256,35.71117,28.61895,34.47748,28.2726
1911-03-24,35.37831,35.38454,27.1883,34.50998,29.53795
1911-03-25,34.12906,34.1396,28.99576,33.74544,30.23077
1911-03-26,31.89665,31.90625,31.03366,33.9697,30.34141
1911-03-27,32.66671,32.68267,31.18457,34.26023,31.04279
1911-03-28,35.64359,35.63464,33.48678,36.3633,32.06089
1911-03-29,36.52179,36.49777,31.71067,35.88618,30.35949
1911-03-30,36.87813,36.85753,25.72974,34.88217,24.46687
1911-03-31,35.22767,35.23337,23.17821,33.16731,23.68185
1911-04-01,34.129,34.13521,21.99806,33.54329,20.95117
1911-04-02,29.27947,29.32539,24.76965,31.16597,23.88241
1911-04-03,31.34384,31.37738,26.33154,32.50167,27.03243
1911-04-04,30.91165,30.90459,26.32318,28.95032,27.38994
1911-04-05,30.08255,30.09898,27.23189,29.64293,29.05554
1911-04-06,31.46163,31.46328,28.37013,32.24735,28.99499
1911-04-07,32.46757,32.47632,27.01911,32.8995,27.29305
1911-04-08,33.76454,33.76811,27.89617,33.98788,27.11062
1911-04-09,35.12009,35.11531,27.49682,35.32451,28.25961
1911-04-10,32.9538,32.98491,28.16179,33.39945,28.23337
1911-04-11,31.94691,31.94788,27.8177,33.56509,27.90606
1911-04-12,30.70641,30.68853,27.50418,32.19913,28.37789
1911-04-13,30.8511,30.75954,26.98792,29.72629,29.19181
1911-04-14,25.65329,25.56526,26.88582,28.50595,29.31994
1911-04-15,26.20328,26.14354,22.83002,28.02389,24.87119
1911-04-16,23.32496,23.27973,21.14937,23.7856,23.9717
1911-04-17,28.64043,28.60975,22.39618,27.91036,25.59488
1911-04-18,28.47348,28.43714,23.73219,28.05163,26.21881
1911-04-19,29.42353,29.38245,24.32706,29.02179,25.75315
1911-04-20,29.2927,29.24956,25.29371,29.07832,26.36326
1911-04-21,29.53933,29.50687,25.89627,29.19438,27.34445
1911-04-22,30.38561,30.3644,25.15765,30.1674,27.54409
1911-04-23,30.92883,30.91368,25.67155,31.47023,27.24989
1911-04-24,30.82324,30.81508,26.59199,31.8642,26.70274
1911-04-25,30.2165,30.21659,26.74404,31.85285,26.93964
1911-04-26,31.18272,31.17893,26.93478,31.89028,27.27129
1911-04-27,32.30033,32.27101,27.38616,31.73049,28.01744
1911-04-28,31.784,31.7545,26.76569,31.29484,27.49686
1911-04-29,32.41067,32.38341,27.01319,32.28505,27.47319
1911-04-30,31.4537,31.43923,25.67346,31.87378,26.59102
1911-05-01,29.34018,29.32008,24.70475,30.02673,26.03216
1911-05-02,29.73685,29.71084,24.93373,29.68323,26.33996
1911-05-03,30.80561,30.77836,25.10471,30.86298,26.20058
1911-05-04,29.1413,29.1255,25.38175,30.51268,26.23381
1911-05-05,29.61741,29.60481,25.06176,30.58441,25.55675
1911-05-06,30.4787,30.45883,24.10267,30.33172,24.8608
1911-05-07,29.12271,29.10658,24.37266,29.85378,25.30298
1911-05-08,28.54129,28.52139,23.75117,29.25374,25.1893
1911-05-09,28.91281,28.89626,24.81456,30.0431,24.81038
1911-05-10,24.84768,24.77952,23.16473,23.22613,26.00042
1911-05-11,22.24941,22.20434,18.4808,20.99931,23.37321
1911-05-12,23.4139,23.36511,19.77744,22.82499,23.49255
1911-05-13,26.03059,25.96775,22.12593,25.77893,23.93172
1911-05-14,26.60011,26.56794,23.79228,28.23202,24.73491
1911-05-15,28.28274,28.25805,24.70387,29.27471,25.95633
1911-05-16,28.85622,28.84021,24.98097,29.91803,25.68475
1911-05-17,29.39686,29.38323,24.69577,30.81014,26.72193
1911-05-18,28.72763,28.69991,24.54412,30.10471,25.70139
1911-05-19,28.92869,28.89183,25.37897,29.75779,25.58871
1911-05-20,28.95268,28.88409,25.40169,28.36133,26.95025
1911-05-21,28.26587,28.20759,23.85508,27.20435,26.25646
1911-05-22,27.96136,27.89109,24.31398,27.7786,26.09926
1911-05-23,27.19236,27.13733,24.08177,27.25809,26.90529
1911-05-24,29.34925,29.28075,24.20402,28.78362,26.03648
1911-05-25,28.89205,28.86507,25.40272,29.86838,26.70234
1911-05-26,29.20636,29.18934,26.41848,29.97966,27.27928
1911-05-27,25.19466,25.14136,18.71241,22.7863,26.98106
1911-05-28,22.61427,22.53673,19.47068,20.23422,23.87458
1911-05-29,21.08019,21.03728,17.8024,19.62216,22.46657
1911-05-30,22.62233,22.54863,19.64763,21.69854,23.09208
1911-05-31,25.01264,24.93086,23.53666,24.15155,25.64223
1911-06-01,27.12655,27.04898,23.35385,26.68182,25.09091
1911-06-02,28.58357,28.53814,24.654,28.47769,26.35376
1911-06-03,28.44171,28.35359,25.87655,27.30256,26.66502
1911-06-04,27.24148,27.13144,24.36053,24.76815,26.41195
1911-06-05,25.1226,25.05295,23.10151,23.92147,26.98159
1911-06-06,25.5595,25.48469,22.35586,24.68906,25.36908
1911-06-07,26.03243,25.93344,23.05249,24.11958,24.58767
1911-06-08,22.20054,22.16103,20.52632,21.36797,24.57845
1911-06-09,22.69342,22.64928,19.47436,21.71007,22.91462
1911-06-10,23.34276,23.28401,20.40064,22.64495,23.55887
1911-06-11,22.61748,22.561,19.12727,21.63333,21.8021
1911-06-12,21.39489,21.33087,18.03746,20.21887,20.53949
1911-06-13,23.71447,23.66359,21.35585,24.29753,23.00326
1911-06-14,25.55832,25.53227,21.55996,26.48069,22.97791
1911-06-15,25.79762,25.77799,23.13585,27.4149,23.47599
1911-06-16,26.81497,26.79415,23.47171,27.82636,24.53247
1911-06-17,26.59985,26.59603,24.62401,29.45245,24.58253
1911-06-18,26.31074,26.31517,24.45172,28.64213,25.92524
1911-06-19,24.5412,24.46346,23.26563,22.95864,26.67661
1911-06-20,21.24452,21.19142,17.73102,19.94029,23.36569
1911-06-21,20.81487,20.76248,16.77846,19.33483,20.79559
1911-06-22,18.97797,18.9275,15.88745,18.09498,19.74988
1911-06-23,21.10979,21.06526,16.57619,20.27961,19.64838
